Transaction ID,Customer ID,Date,Age,Gender,Product Category,Quantity,Price per Unit,Total Amount
33,CUST033,2023-03-23 00:00:00,50,Female,Electronics,2,50,100
34,CUST034,2023-12-24 00:00:00,51,Female,Clothing,3,50,150
35,CUST035,2023-08-05 00:00:00,58,Female,Beauty,3,300,900
36,CUST036,2023-06-24 00:00:00,52,Male,Beauty,3,300,900
37,CUST037,2023-05-23 00:00:00,18,Female,Beauty,3,25,75
38,CUST038,2023-03-21 00:00:00,38,Male,Beauty,4,50,200
39,CUST039,2023-04-21 00:00:00,23,Male,Clothing,4,30,120
40,CUST040,2023-06-22 00:00:00,45,Male,Beauty,1,50,50
41,CUST041,2023-02-22 00:00:00,34,Male,Clothing,2,25,50
42,CUST042,2023-02-17 00:00:00,22,Male,Clothing,3,300,900
43,CUST043,2023-07-14 00:00:00,48,Female,Clothing,1,300,300
44,CUST044,2023-02-19 00:00:00,22,Female,Clothing,1,25,25
45,CUST045,2023-07-03 00:00:00,55,Female,Electronics,1,30,30
46,CUST046,2023-06-26 00:00:00,20,Female,Electronics,4,300,1200
47,CUST047,2023-11-06 00:00:00,40,Female,Beauty,3,500,1500
48,CUST048,2023-05-16 00:00:00,54,Male,Electronics,3,300,900
49,CUST049,2023-01-23 00:00:00,54,Female,Electronics,2,500,1000
50,CUST050,2023-08-24 00:00:00,27,Female,Beauty,3,25,75
51,CUST051,2023-10-02 00:00:00,27,Male,Beauty,3,25,75
52,CUST052,2023-03-05 00:00:00,36,Female,Beauty,1,300,300
53,CUST053,2023-07-13 00:00:00,34,Male,Electronics,2,50,100
54,CUST054,2023-02-10 00:00:00,38,Female,Electronics,3,500,1500
55,CUST055,2023-10-10 00:00:00,31,Male,Beauty,4,30,120
56,CUST056,2023-05-31 00:00:00,26,Female,Clothing,3,300,900
57,CUST057,2023-11-18 00:00:00,63,Female,Beauty,1,30,30
58,CUST058,2023-11-13 00:00:00,18,Male,Clothing,4,300,1200
59,CUST059,2023-07-05 00:00:00,62,Male,Clothing,1,50,50
60,CUST060,2023-10-23 00:00:00,30,Male,Beauty,3,50,150
61,CUST061,2023-04-09 00:00:00,21,Male,Beauty,4,50,200
62,CUST062,2023-12-27 00:00:00,18,Male,Beauty,2,50,100
63,CUST063,2023-02-05 00:00:00,57,Male,Electronics,2,25,50
64,CUST064,2023-01-24 00:00:00,49,Male,Clothing,4,25,100
65,CUST065,2023-12-05 00:00:00,51,Male,Electronics,4,500,2000
66,CUST066,2023-04-27 00:00:00,45,Female,Electronics,1,30,30
67,CUST067,2023-05-29 00:00:00,48,Female,Beauty,4,300,1200
68,CUST068,2023-02-10 00:00:00,25,Male,Electronics,1,300,300
69,CUST069,2023-04-30 00:00:00,56,Female,Beauty,3,25,75
70,CUST070,2023-02-21 00:00:00,43,Female,Clothing,1,300,300
71,CUST071,2023-07-14 00:00:00,51,Female,Beauty,4,25,100
72,CUST072,2023-05-23 00:00:00,20,Female,Electronics,4,500,2000
73,CUST073,2023-08-21 00:00:00,29,Male,Electronics,3,30,90
74,CUST074,2023-11-22 00:00:00,18,Female,Beauty,4,500,2000
75,CUST075,2023-07-06 00:00:00,61,Male,Beauty,4,50,200
76,CUST076,2023-03-25 00:00:00,22,Female,Electronics,2,50,100
77,CUST077,2023-07-09 00:00:00,47,Female,Clothing,2,50,100
78,CUST078,2023-07-01 00:00:00,47,Female,Clothing,3,500,1500
79,CUST079,2023-04-18 00:00:00,34,Male,Beauty,1,300,300
80,CUST080,2023-12-10 00:00:00,64,Female,Clothing,2,30,60
81,CUST081,2023-05-17 00:00:00,40,Male,Electronics,1,50,50
82,CUST082,2023-12-26 00:00:00,32,Female,Beauty,4,50,200
83,CUST083,2023-12-16 00:00:00,54,Male,Electronics,2,50,100
84,CUST084,2023-11-28 00:00:00,38,Female,Electronics,3,30,90
85,CUST085,2023-02-06 00:00:00,31,Male,Clothing,3,50,150
86,CUST086,2023-11-08 00:00:00,19,Male,Beauty,3,30,90
87,CUST087,2023-11-22 00:00:00,28,Female,Beauty,2,50,100
88,CUST088,2023-03-29 00:00:00,56,Male,Clothing,1,500,500
89,CUST089,2023-10-01 00:00:00,55,Female,Electronics,4,500,2000
90,CUST090,2023-05-06 00:00:00,51,Female,Electronics,1,30,30
91,CUST091,2023-03-25 00:00:00,55,Female,Electronics,1,500,500
92,CUST092,2023-08-25 00:00:00,51,Female,Electronics,4,30,120
93,CUST093,2023-07-14 00:00:00,35,Female,Beauty,4,500,2000
94,CUST094,2023-05-19 00:00:00,47,Female,Beauty,2,500,1000
95,CUST095,2023-11-24 00:00:00,32,Female,Clothing,2,30,60
96,CUST096,2023-12-19 00:00:00,44,Female,Clothing,2,300,600
97,CUST097,2023-10-13 00:00:00,51,Female,Beauty,2,500,1000
98,CUST098,2023-04-23 00:00:00,55,Female,Beauty,2,50,100
99,CUST099,2023-12-17 00:00:00,50,Female,Electronics,4,300,1200
100,CUST100,2023-06-16 00:00:00,41,Male,Electronics,1,30,30
101,CUST101,2023-01-29 00:00:00,32,Male,Clothing,2,300,600
102,CUST102,2023-04-28 00:00:00,47,Female,Beauty,2,25,50
103,CUST103,2023-01-17 00:00:00,59,Female,Clothing,1,25,25
104,CUST104,2023-06-11 00:00:00,34,Female,Beauty,2,500,1000
105,CUST105,2023-07-25 00:00:00,22,Female,Electronics,1,500,500
106,CUST106,2023-05-18 00:00:00,46,Female,Clothing,1,50,50
107,CUST107,2023-02-03 00:00:00,21,Female,Clothing,4,300,1200
108,CUST108,2023-04-19 00:00:00,27,Female,Beauty,3,25,75
109,CUST109,2023-10-18 00:00:00,34,Female,Electronics,4,500,2000
110,CUST110,2023-06-11 00:00:00,27,Male,Clothing,3,300,900
111,CUST111,2023-04-19 00:00:00,34,Female,Electronics,3,500,1500
112,CUST112,2023-12-02 00:00:00,37,Male,Clothing,3,500,1500
113,CUST113,2023-09-13 00:00:00,41,Female,Electronics,2,25,50
114,CUST114,2023-07-22 00:00:00,22,Female,Beauty,4,25,100
115,CUST115,2023-11-26 00:00:00,51,Male,Clothing,3,500,1500
116,CUST116,2023-08-23 00:00:00,23,Female,Clothing,1,30,30
117,CUST117,2023-03-15 00:00:00,19,Male,Electronics,2,500,1000
118,CUST118,2023-05-16 00:00:00,30,Female,Electronics,4,500,2000
119,CUST119,2023-03-13 00:00:00,60,Female,Clothing,3,50,150
120,CUST120,2023-05-07 00:00:00,60,Male,Beauty,1,50,50
121,CUST121,2023-10-15 00:00:00,28,Female,Electronics,4,50,200
122,CUST122,2023-10-03 00:00:00,64,Male,Electronics,4,30,120
123,CUST123,2023-05-15 00:00:00,40,Female,Electronics,2,30,60
124,CUST124,2023-10-27 00:00:00,33,Male,Clothing,4,500,2000
125,CUST125,2023-08-08 00:00:00,48,Male,Clothing,2,50,100
126,CUST126,2023-10-26 00:00:00,28,Female,Clothing,3,30,90
127,CUST127,2023-07-24 00:00:00,33,Female,Clothing,2,25,50
128,CUST128,2023-07-05 00:00:00,25,Male,Beauty,1,500,500
129,CUST129,2023-04-23 00:00:00,21,Female,Beauty,2,300,600
130,CUST130,2023-03-12 00:00:00,57,Female,Clothing,1,500,500
131,CUST131,2023-09-18 00:00:00,21,Female,Beauty,2,300,600
132,CUST132,2023-09-10 00:00:00,42,Male,Electronics,4,50,200
133,CUST133,2023-02-16 00:00:00,20,Male,Electronics,3,300,900
134,CUST134,2023-01-25 00:00:00,49,Male,Electronics,1,50,50
135,CUST135,2023-02-26 00:00:00,20,Male,Clothing,2,25,50
136,CUST136,2023-03-20 00:00:00,44,Male,Electronics,2,300,600
137,CUST137,2023-11-18 00:00:00,46,Male,Beauty,2,500,1000
138,CUST138,2023-03-23 00:00:00,49,Male,Clothing,4,50,200
139,CUST139,2023-12-15 00:00:00,36,Male,Beauty,4,500,2000
140,CUST140,2023-08-05 00:00:00,38,Male,Electronics,1,30,30
141,CUST141,2023-11-02 00:00:00,22,Female,Electronics,1,50,50
142,CUST142,2023-02-02 00:00:00,35,Male,Electronics,4,300,1200
143,CUST143,2023-07-17 00:00:00,45,Female,Clothing,1,50,50
144,CUST144,2023-07-15 00:00:00,59,Female,Beauty,3,500,1500
145,CUST145,2023-11-02 00:00:00,39,Female,Clothing,3,25,75
146,CUST146,2023-08-28 00:00:00,38,Male,Clothing,4,50,200
147,CUST147,2023-09-28 00:00:00,23,Male,Electronics,1,300,300
148,CUST148,2023-05-09 00:00:00,18,Male,Clothing,2,30,60
149,CUST149,2023-10-11 00:00:00,22,Male,Clothing,3,25,75
150,CUST150,2023-01-06 00:00:00,58,Female,Electronics,4,30,120
151,CUST151,2023-12-15 00:00:00,29,Male,Clothing,1,50,50
152,CUST152,2023-02-28 00:00:00,43,Male,Electronics,4,500,2000
153,CUST153,2023-12-16 00:00:00,63,Male,Electronics,2,500,1000
154,CUST154,2023-10-02 00:00:00,51,Male,Electronics,3,300,900
155,CUST155,2023-05-17 00:00:00,31,Male,Electronics,4,500,2000
156,CUST156,2023-11-25 00:00:00,43,Female,Clothing,4,25,100
157,CUST157,2023-06-24 00:00:00,62,Male,Electronics,4,500,2000
158,CUST158,2023-02-27 00:00:00,44,Female,Electronics,2,300,600
159,CUST159,2023-05-31 00:00:00,26,Male,Clothing,4,50,200
160,CUST160,2023-08-11 00:00:00,43,Female,Clothing,2,50,100
161,CUST161,2023-03-22 00:00:00,64,Male,Beauty,2,500,1000
162,CUST162,2023-08-21 00:00:00,39,Male,Clothing,2,30,60
163,CUST163,2023-01-02 00:00:00,64,Female,Clothing,3,50,150
164,CUST164,2023-05-15 00:00:00,47,Female,Beauty,3,500,1500
165,CUST165,2023-09-14 00:00:00,60,Female,Clothing,4,300,1200
166,CUST166,2023-04-02 00:00:00,34,Male,Clothing,4,500,2000
167,CUST167,2023-09-17 00:00:00,43,Female,Clothing,3,50,150
168,CUST168,2023-02-24 00:00:00,53,Male,Clothing,1,300,300
169,CUST169,2023-11-17 00:00:00,18,Male,Beauty,3,500,1500
170,CUST170,2023-06-02 00:00:00,25,Female,Clothing,2,25,50
171,CUST171,2023-11-24 00:00:00,52,Female,Clothing,3,300,900
172,CUST172,2023-09-17 00:00:00,32,Male,Beauty,2,25,50
173,CUST173,2023-11-08 00:00:00,64,Male,Electronics,4,30,120
174,CUST174,2023-04-12 00:00:00,39,Female,Beauty,1,300,300
175,CUST175,2023-03-20 00:00:00,31,Female,Electronics,4,25,100
176,CUST176,2023-07-11 00:00:00,43,Female,Beauty,2,50,100
177,CUST177,2023-03-24 00:00:00,45,Male,Beauty,2,50,100
178,CUST178,2023-10-04 00:00:00,40,Male,Clothing,2,30,60
179,CUST179,2023-09-29 00:00:00,31,Male,Electronics,1,300,300
180,CUST180,2023-01-01 00:00:00,41,Male,Clothing,3,300,900
181,CUST181,2023-11-03 00:00:00,19,Male,Electronics,4,300,1200
182,CUST182,2023-06-15 00:00:00,62,Male,Beauty,4,30,120
183,CUST183,2023-09-08 00:00:00,43,Female,Beauty,3,300,900
184,CUST184,2023-01-10 00:00:00,31,Male,Electronics,4,50,200
185,CUST185,2023-02-27 00:00:00,24,Male,Clothing,1,25,25
186,CUST186,2023-07-05 00:00:00,20,Male,Clothing,4,50,200
187,CUST187,2023-06-07 00:00:00,64,Female,Clothing,2,50,100
188,CUST188,2023-05-03 00:00:00,40,Male,Clothing,3,25,75
189,CUST189,2023-01-30 00:00:00,63,Male,Beauty,1,50,50
190,CUST190,2023-05-04 00:00:00,60,Female,Beauty,3,30,90
191,CUST191,2023-10-18 00:00:00,64,Male,Beauty,1,25,25
192,CUST192,2023-02-10 00:00:00,62,Male,Beauty,2,50,100
193,CUST193,2023-02-13 00:00:00,35,Male,Beauty,3,500,1500
194,CUST194,2023-09-06 00:00:00,55,Male,Clothing,4,50,200
195,CUST195,2023-02-05 00:00:00,52,Male,Clothing,1,30,30
196,CUST196,2023-09-30 00:00:00,32,Female,Clothing,3,300,900
197,CUST197,2023-03-06 00:00:00,42,Female,Clothing,4,50,200
198,CUST198,2023-03-07 00:00:00,54,Female,Beauty,3,300,900
199,CUST199,2023-12-04 00:00:00,45,Male,Beauty,3,500,1500
200,CUST200,2023-09-01 00:00:00,27,Male,Beauty,3,50,150
201,CUST201,2023-10-09 00:00:00,56,Male,Electronics,1,25,25
202,CUST202,2023-03-26 00:00:00,34,Female,Clothing,4,300,1200
203,CUST203,2023-05-16 00:00:00,56,Male,Clothing,2,500,1000
204,CUST204,2023-09-28 00:00:00,39,Male,Beauty,1,25,25
205,CUST205,2023-11-07 00:00:00,43,Female,Clothing,1,25,25
206,CUST206,2023-08-05 00:00:00,61,Male,Clothing,1,25,25
207,CUST207,2023-04-19 00:00:00,42,Female,Beauty,2,25,50
208,CUST208,2023-10-04 00:00:00,34,Female,Electronics,4,50,200
209,CUST209,2023-12-20 00:00:00,30,Female,Electronics,4,50,200
210,CUST210,2023-04-13 00:00:00,37,Male,Electronics,4,50,200
211,CUST211,2024-01-01 00:00:00,42,Male,Beauty,3,500,1500
212,CUST212,2023-06-09 00:00:00,21,Male,Clothing,3,500,1500
213,CUST213,2023-07-24 00:00:00,27,Male,Beauty,3,500,1500
214,CUST214,2023-12-10 00:00:00,20,Male,Beauty,2,30,60
215,CUST215,2023-11-29 00:00:00,58,Male,Clothing,3,500,1500
216,CUST216,2023-07-11 00:00:00,62,Male,Electronics,2,50,100
217,CUST217,2023-08-13 00:00:00,35,Female,Electronics,4,50,200
218,CUST218,2023-09-22 00:00:00,64,Male,Beauty,3,30,90
219,CUST219,2023-08-20 00:00:00,53,Female,Electronics,3,30,90
220,CUST220,2023-03-03 00:00:00,64,Male,Beauty,1,500,500
221,CUST221,2023-05-07 00:00:00,39,Male,Beauty,2,300,600
222,CUST222,2023-04-26 00:00:00,51,Male,Clothing,4,30,120
223,CUST223,2023-02-02 00:00:00,64,Female,Clothing,1,25,25
224,CUST224,2023-06-23 00:00:00,25,Female,Clothing,1,50,50
225,CUST225,2023-01-11 00:00:00,57,Female,Beauty,4,25,100
226,CUST226,2023-10-29 00:00:00,61,Female,Clothing,1,50,50
227,CUST227,2023-10-11 00:00:00,36,Male,Electronics,2,50,100
228,CUST228,2023-04-28 00:00:00,59,Female,Electronics,2,30,60
229,CUST229,2023-10-29 00:00:00,58,Male,Beauty,3,30,90
230,CUST230,2023-04-23 00:00:00,54,Male,Beauty,1,25,25
231,CUST231,2023-01-04 00:00:00,23,Female,Clothing,3,50,150
232,CUST232,2023-02-06 00:00:00,43,Female,Beauty,1,25,25
233,CUST233,2023-12-29 00:00:00,51,Female,Beauty,2,300,600
234,CUST234,2023-11-20 00:00:00,62,Female,Electronics,2,25,50
235,CUST235,2023-01-31 00:00:00,23,Female,Electronics,2,500,1000
236,CUST236,2023-04-28 00:00:00,54,Female,Clothing,1,25,25
237,CUST237,2023-02-04 00:00:00,50,Female,Beauty,2,500,1000
238,CUST238,2023-01-17 00:00:00,39,Female,Beauty,1,500,500
239,CUST239,2023-06-19 00:00:00,38,Male,Electronics,3,500,1500
240,CUST240,2023-02-06 00:00:00,23,Female,Beauty,1,300,300
241,CUST241,2023-09-21 00:00:00,23,Female,Electronics,3,25,75
242,CUST242,2023-05-02 00:00:00,21,Male,Clothing,1,25,25
243,CUST243,2023-05-23 00:00:00,47,Female,Electronics,3,300,900
244,CUST244,2023-12-09 00:00:00,28,Male,Beauty,2,50,100
245,CUST245,2023-09-06 00:00:00,47,Male,Clothing,3,30,90
246,CUST246,2023-04-20 00:00:00,48,Female,Electronics,2,25,50
247,CUST247,2023-10-04 00:00:00,41,Male,Electronics,2,30,60
248,CUST248,2023-03-09 00:00:00,26,Male,Clothing,3,300,900
249,CUST249,2023-10-20 00:00:00,20,Male,Clothing,1,50,50
250,CUST250,2023-10-23 00:00:00,48,Male,Electronics,1,50,50
251,CUST251,2023-08-31 00:00:00,57,Female,Beauty,4,50,200
252,CUST252,2023-05-05 00:00:00,54,Male,Electronics,1,300,300
253,CUST253,2023-08-31 00:00:00,53,Female,Clothing,4,500,2000
254,CUST254,2023-07-28 00:00:00,41,Male,Electronics,1,500,500
255,CUST255,2023-04-08 00:00:00,48,Male,Clothing,1,30,30
256,CUST256,2023-02-18 00:00:00,23,Male,Clothing,2,500,1000
257,CUST257,2023-02-19 00:00:00,19,Male,Beauty,4,500,2000
258,CUST258,2023-12-04 00:00:00,37,Female,Clothing,1,50,50
259,CUST259,2023-08-09 00:00:00,45,Female,Clothing,4,50,200
260,CUST260,2023-07-01 00:00:00,28,Male,Beauty,2,30,60
261,CUST261,2023-08-05 00:00:00,21,Male,Clothing,2,25,50
262,CUST262,2023-07-30 00:00:00,32,Female,Beauty,4,30,120
263,CUST263,2023-08-28 00:00:00,23,Male,Beauty,2,30,60
264,CUST264,2023-01-28 00:00:00,47,Male,Clothing,3,300,900
265,CUST265,2023-12-11 00:00:00,55,Male,Clothing,3,300,900
266,CUST266,2023-12-01 00:00:00,19,Female,Electronics,2,30,60
267,CUST267,2023-11-27 00:00:00,32,Female,Beauty,3,30,90
268,CUST268,2023-02-20 00:00:00,28,Female,Electronics,1,30,30
269,CUST269,2023-02-01 00:00:00,25,Male,Clothing,4,500,2000
270,CUST270,2023-07-26 00:00:00,43,Male,Electronics,1,300,300
271,CUST271,2023-06-23 00:00:00,62,Female,Beauty,4,30,120
272,CUST272,2023-02-25 00:00:00,61,Female,Electronics,2,50,100
273,CUST273,2023-05-08 00:00:00,22,Female,Beauty,1,50,50
274,CUST274,2023-04-09 00:00:00,23,Female,Clothing,2,500,1000
275,CUST275,2023-04-08 00:00:00,43,Male,Clothing,2,500,1000
276,CUST276,2023-10-02 00:00:00,21,Female,Beauty,4,25,100
277,CUST277,2023-08-18 00:00:00,36,Male,Clothing,4,25,100
278,CUST278,2023-03-13 00:00:00,37,Female,Clothing,4,25,100
279,CUST279,2023-08-05 00:00:00,50,Male,Clothing,1,500,500
280,CUST280,2023-04-04 00:00:00,37,Female,Clothing,3,500,1500
281,CUST281,2023-05-23 00:00:00,29,Female,Beauty,4,500,2000
282,CUST282,2023-08-25 00:00:00,64,Female,Electronics,4,50,200
283,CUST283,2023-05-08 00:00:00,18,Female,Electronics,1,500,500
284,CUST284,2023-02-08 00:00:00,43,Male,Clothing,4,50,200
285,CUST285,2023-08-15 00:00:00,31,Female,Electronics,1,25,25
286,CUST286,2023-10-09 00:00:00,55,Male,Electronics,2,25,50
287,CUST287,2023-02-20 00:00:00,54,Male,Clothing,4,25,100
288,CUST288,2023-01-26 00:00:00,28,Male,Clothing,4,30,120
289,CUST289,2023-11-30 00:00:00,53,Male,Electronics,2,30,60
290,CUST290,2023-10-04 00:00:00,30,Female,Beauty,2,300,600
291,CUST291,2023-01-08 00:00:00,60,Male,Clothing,2,300,600
292,CUST292,2023-02-17 00:00:00,20,Male,Beauty,4,300,1200
293,CUST293,2023-05-02 00:00:00,50,Male,Electronics,3,30,90
294,CUST294,2023-03-27 00:00:00,23,Female,Clothing,3,30,90
295,CUST295,2023-07-28 00:00:00,27,Female,Beauty,3,300,900
296,CUST296,2023-09-06 00:00:00,22,Female,Clothing,4,300,1200
297,CUST297,2023-09-04 00:00:00,40,Female,Electronics,2,500,1000
298,CUST298,2023-04-20 00:00:00,27,Male,Beauty,4,300,1200
299,CUST299,2023-07-25 00:00:00,61,Male,Electronics,2,500,1000
300,CUST300,2023-01-31 00:00:00,19,Female,Electronics,4,50,200
301,CUST301,2023-03-26 00:00:00,30,Male,Clothing,4,30,120
302,CUST302,2023-07-14 00:00:00,57,Male,Beauty,2,300,600
303,CUST303,2023-01-02 00:00:00,19,Male,Electronics,3,30,90
304,CUST304,2023-07-19 00:00:00,37,Female,Electronics,2,30,60
305,CUST305,2023-05-16 00:00:00,18,Female,Beauty,1,30,30
306,CUST306,2023-08-21 00:00:00,54,Male,Electronics,1,50,50
307,CUST307,2023-05-27 00:00:00,26,Female,Electronics,2,25,50
308,CUST308,2023-08-05 00:00:00,34,Female,Beauty,4,300,1200
309,CUST309,2023-12-23 00:00:00,26,Female,Beauty,1,25,25
310,CUST310,2023-10-12 00:00:00,28,Female,Beauty,1,25,25
311,CUST311,2023-12-05 00:00:00,32,Female,Beauty,4,25,100
312,CUST312,2023-09-07 00:00:00,41,Male,Clothing,4,30,120
313,CUST313,2023-03-21 00:00:00,55,Female,Beauty,3,500,1500
314,CUST314,2023-04-08 00:00:00,52,Male,Clothing,4,30,120
315,CUST315,2023-06-01 00:00:00,47,Male,Clothing,2,30,60
316,CUST316,2023-04-22 00:00:00,48,Female,Clothing,2,25,50
317,CUST317,2023-01-30 00:00:00,22,Male,Electronics,3,30,90
318,CUST318,2023-10-24 00:00:00,61,Male,Clothing,1,25,25
319,CUST319,2023-10-05 00:00:00,31,Male,Clothing,1,500,500
320,CUST320,2023-02-01 00:00:00,28,Female,Electronics,4,300,1200
321,CUST321,2023-06-10 00:00:00,26,Female,Electronics,2,25,50
322,CUST322,2023-01-30 00:00:00,51,Male,Electronics,1,500,500
323,CUST323,2023-01-26 00:00:00,29,Female,Beauty,3,300,900
324,CUST324,2023-10-27 00:00:00,52,Female,Electronics,3,50,150
325,CUST325,2023-09-02 00:00:00,52,Female,Electronics,2,25,50
326,CUST326,2023-09-15 00:00:00,18,Female,Clothing,3,25,75
327,CUST327,2023-09-29 00:00:00,57,Male,Electronics,3,50,150
328,CUST328,2023-03-22 00:00:00,39,Male,Beauty,2,50,100
329,CUST329,2023-01-30 00:00:00,46,Female,Electronics,4,25,100
330,CUST330,2023-09-18 00:00:00,25,Female,Beauty,4,50,200
331,CUST331,2023-02-11 00:00:00,28,Male,Electronics,3,30,90
332,CUST332,2023-04-06 00:00:00,58,Male,Electronics,4,300,1200
333,CUST333,2023-02-05 00:00:00,54,Female,Electronics,4,300,1200
334,CUST334,2023-11-01 00:00:00,31,Male,Electronics,3,300,900
335,CUST335,2023-02-04 00:00:00,47,Female,Beauty,4,30,120
336,CUST336,2023-12-12 00:00:00,52,Female,Beauty,3,50,150
337,CUST337,2023-05-01 00:00:00,38,Male,Clothing,1,500,500
338,CUST338,2023-07-26 00:00:00,54,Male,Beauty,2,50,100
339,CUST339,2023-03-03 00:00:00,22,Female,Electronics,2,25,50
340,CUST340,2023-10-19 00:00:00,36,Female,Clothing,4,300,1200
341,CUST341,2023-05-07 00:00:00,31,Male,Clothing,4,50,200
342,CUST342,2023-10-24 00:00:00,43,Female,Clothing,4,500,2000
343,CUST343,2023-11-01 00:00:00,21,Male,Electronics,2,25,50
344,CUST344,2023-01-21 00:00:00,42,Female,Beauty,1,30,30
345,CUST345,2023-11-14 00:00:00,62,Male,Electronics,1,30,30
346,CUST346,2023-02-11 00:00:00,59,Male,Clothing,2,500,1000
347,CUST347,2023-08-03 00:00:00,42,Male,Electronics,1,25,25
348,CUST348,2023-12-03 00:00:00,35,Female,Electronics,2,300,600
349,CUST349,2023-10-26 00:00:00,57,Female,Beauty,1,50,50
350,CUST350,2023-10-17 00:00:00,25,Male,Beauty,3,25,75
351,CUST351,2023-09-25 00:00:00,56,Female,Clothing,3,30,90
352,CUST352,2023-06-11 00:00:00,57,Male,Electronics,2,500,1000
353,CUST353,2023-05-14 00:00:00,31,Male,Electronics,1,500,500
354,CUST354,2023-04-15 00:00:00,49,Female,Beauty,4,50,200
355,CUST355,2023-12-09 00:00:00,55,Female,Electronics,1,500,500
356,CUST356,2023-06-10 00:00:00,50,Male,Electronics,3,500,1500
357,CUST357,2023-05-03 00:00:00,40,Female,Electronics,3,25,75
358,CUST358,2023-05-16 00:00:00,32,Female,Beauty,1,300,300
359,CUST359,2023-07-22 00:00:00,50,Male,Clothing,1,50,50
360,CUST360,2023-03-09 00:00:00,42,Male,Clothing,4,25,100
361,CUST361,2023-12-10 00:00:00,34,Female,Electronics,4,300,1200
362,CUST362,2023-11-27 00:00:00,50,Male,Clothing,1,25,25
363,CUST363,2023-06-03 00:00:00,64,Male,Beauty,1,25,25
364,CUST364,2023-08-23 00:00:00,19,Female,Beauty,1,500,500
365,CUST365,2023-06-11 00:00:00,31,Male,Clothing,1,300,300
366,CUST366,2023-02-07 00:00:00,57,Male,Clothing,2,50,100
367,CUST367,2023-01-05 00:00:00,57,Female,Electronics,1,50,50
368,CUST368,2023-08-23 00:00:00,56,Female,Clothing,4,300,1200
369,CUST369,2023-11-15 00:00:00,23,Male,Electronics,3,500,1500
370,CUST370,2023-10-16 00:00:00,23,Male,Electronics,2,30,60
371,CUST371,2023-02-21 00:00:00,20,Female,Beauty,1,25,25
372,CUST372,2023-02-07 00:00:00,24,Female,Beauty,3,500,1500
373,CUST373,2023-10-03 00:00:00,25,Female,Beauty,2,300,600
374,CUST374,2023-04-20 00:00:00,59,Female,Beauty,3,25,75
375,CUST375,2023-09-17 00:00:00,32,Male,Clothing,1,50,50
376,CUST376,2023-05-16 00:00:00,64,Female,Beauty,1,30,30
377,CUST377,2023-03-09 00:00:00,46,Female,Clothing,4,50,200
378,CUST378,2023-06-28 00:00:00,50,Male,Beauty,1,300,300
379,CUST379,2023-02-05 00:00:00,47,Female,Clothing,1,25,25
380,CUST380,2023-05-06 00:00:00,56,Male,Electronics,2,300,600
381,CUST381,2023-07-09 00:00:00,44,Female,Clothing,4,25,100
382,CUST382,2023-05-26 00:00:00,53,Female,Clothing,2,500,1000
383,CUST383,2023-03-22 00:00:00,46,Female,Beauty,3,30,90
384,CUST384,2023-08-13 00:00:00,55,Male,Clothing,1,500,500
